IATA,Airline,Country,ID
T6,Tavrey Airlines,Ukraine,756
FD,Thai AirAsia,Thailand,757
TG,Thai Airways International,Thailand,758
MT,Thomas Cook Airlines,United Kingdom,759
DK,Thomas Cook Airlines Scandinavia,Denmark,760
BY,Thomson Airways,United Kingdom,761
3P,Tiara Air,Aruba (Netherlands),762
TR,Tiger Airways,Singapore,763
TT,Tiger Airways Australia,Australia,764
3V,TNT Airways,Belgium,765
9D,Toumaï Air Tchad,Chad,766
WI,Tradewinds Airlines,USA,767
N4,Trans Air Benin,Benin,768
M8,Trans Maldivian Airways,Maldives,769
AX,Trans States Airlines,USA,770
UN,Transaero Airlines,Russia,771
GE,TransAsia Airways,"Taiwan, Republic of China",772
AL,TransAVIAexport Airlines,Belarus,773
T9,Transcarga,Venezuela,774
TH,Transmile Air Services,Malaysia,775
8R,TRIP Linhas Aereas,Brazil,776
3A,Triple Alpha Luftfahrtgesellschaft,Germany,777
PM,Tropic Air,Belize,778
X3,TUIfly,Germany,779
6B,TUIfly Nordic,Sweden,780
2T,Tulpar Air Service,Kazakhstan,781
TU,Tunisair,Tunesia,782
UG,TunisAir Express,Tunesia,783
3T,Turan Air,Azerbaijan,784
TK,Turkish Airlines,Turkey,785
T5,Turkmenistan Airlines,Turkmenistan,786
T7,Twin Jet,France,787
PS,Ukraine International Airlines,Ukraine,788
6Z,Ukrainian Cargo Airways,Ukraine,789
UF,UM Airlines,Ukraine,790
B7,Uni Air,"Taiwan, Republic of China",791
UA,United Airlines,USA,792
4H,United Airways,Bangladesh,793
5X,United Parcel Service,USA,794
U6,Ural Airlines,Russia,795
UH,US Helicopter,USA,796
U5,USA 3000 Airlines,USA,797
UT,UTair Aviation,Russia,798
HY,Uzbekistan Airways,Uzbekistan,799
VM,Viaggio Air,Bulgaria,800
VI,Vieques Air Link,Puerto Rico,801
VN,Vietnam Airlines,Vietnam,802
NN,VIM Airlines,Russia,803
VQ,Vintage Props and Jets,USA,804
V6,VIP Ecuador,Ecuador,805
VX,Virgin America,USA,806
VS,Virgin Atlantic Airways,United Kingdom,807
VK,Virgin Nigeria Airways,Nigeria,808
ZG,Viva Macau,China - Peoples Republic,809
VB,VivaAerobus,Mexico,810
XF,Vladivostok Air,Russia,811
VG,VLM Airlines,Belgium,812
VA,Volare Airlines,Italy,813
VC,Voyageur Airways,Canada,814
RG,VRG Linhas Aereas,Brazil,815
VY,Vueling Airlines,Spain,816
3W,Wan Air,French Polynesia,817
WT,Wasaya Airways,Canada,818
W1,WDL Aviation,Germany,819
2W,Welcome Air,Austria,820
